电影名称,电影别名,电影导演,上映时间,上映国家,分类,评分,评价人数
少年派的奇幻漂流, / 少年Pi的奇幻漂流  /  漂流少年Pi,李安 Ang Lee,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.0,875107
摔跤吧！爸爸, / 我和我的冠军女儿(台)  /  打死不离3父女(港),涅提·蒂瓦里 Nitesh Tiwari,2016,印度,剧情 传记 运动 家庭,9.0,881194
指环王3：王者无敌, / 魔戒三部曲：王者再临(台 / 港) ,彼得·杰克逊 Peter Jackson,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.2,442991
鬼子来了, / Devils on the Doorstep,姜文 Wen Jiang,2000,中国大陆,剧情 历史 战争,9.2,371587
天空之城, / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,宫崎骏 Hayao Miyazaki,1986,日本,动画 奇幻 冒险,9.1,518905
十二怒汉, / 12怒汉  /  十二怒汉,Sidney Lumet,1957,美国,剧情,9.4,264401
飞屋环游记, / 冲天救兵(港)  /  天外奇迹(台),彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,2009,美国,剧情 喜剧 动画 冒险,9.0,796687
天堂电影院, / 星光伴我心(港)  /  新天堂乐园(台),朱塞佩·托纳多雷 Giuseppe Tornatore,1988,意大利 法国,剧情 爱情,9.2,423855
大话西游之月光宝盒, / 西游记101回月光宝盒  /  齐天大圣东游记,刘镇伟 Jeffrey Lau,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,698075
哈尔的移动城堡, / 呼啸山城  /  霍尔的移动城堡,宫崎骏 Hayao Miyazaki,2004,日本,动画 奇幻 冒险,9.0,585011
寻梦环游记, / 可可夜总会(台)  /  玩转极乐园(港),李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,2017,美国,喜剧 动画 奇幻 音乐,9.1,840922
末代皇帝, / 末代皇帝溥仪(港),贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,9.2,371468
罗马假日, / 金枝玉叶(港)  /  罗马假期(台),威廉·惠勒 William Wyler,1953,美国,喜剧 剧情 爱情,9.0,591286
搏击俱乐部, / 搏击会(港)  /  斗阵俱乐部(台),大卫·芬奇 David Fincher,1999,美国 德国,剧情 动作 悬疑 惊悚,9.0,553937
闻香识女人, / 女人香  /  女人的芳香,马丁·布莱斯 Martin Brest,1992,美国,剧情,9.0,506660
辩护人, / 逆权大状(港)  /  正义辩护人(台),杨宇硕 Woo-seok Yang,2013,韩国,剧情,9.2,352747
素媛, / 许愿  /  希望：为爱重生(台),李濬益 Jun-ik Lee,2013,韩国,剧情,9.2,336698
窃听风暴, / 窃听者(港)  /  他人的生活,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,2006,德国,剧情 悬疑,9.1,348183
死亡诗社, / 暴雨骄阳(港)  /  春风化雨(台),彼得·威尔 Peter Weir,1989,美国,剧情,9.0,424132
两杆大烟枪, / 够姜四小强(港)  /  两根枪管(台),Guy Ritchie,1998,英国,剧情 喜剧 犯罪,9.1,376558
飞越疯人院, / 飞越杜鹃窝(台)  /  飞越喜鹊巢,米洛斯·福尔曼 Miloš Forman,1975,美国,剧情,9.1,380918
指环王2：双塔奇兵, / 魔戒二部曲：双城奇谋  /  指环王II：双塔,彼得·杰克逊 Peter Jackson,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.0,413421
教父2, / 教父续集  /  教父II,弗朗西斯·福特·科波拉 Francis Ford Coppola,1974,美国,剧情 犯罪,9.2,299917
狮子王, / 狮子王3D,Roger Allers / 罗伯·明可夫 Rob Minkoff,1994,美国,动画 冒险 歌舞,9.0,454903
指环王1：魔戒再现, / 魔戒首部曲：魔戒现身  /  指环王I：护戒使者,彼得·杰克逊 Peter Jackson,2001,新西兰 美国,剧情 动作 奇幻 冒险,9.0,464252
何以为家, / 迦百农  /  星仔打官司(港),娜丁·拉巴基 Nadine Labaki,2018,黎巴嫩 法国 美国,剧情,9.1,389454
V字仇杀队, / V煞(港)  /  V怪客(台),詹姆斯·麦克特格 James McTeigue,2005,美国 英国 德国,剧情 动作 科幻 惊悚,8.9,650791
美丽心灵, / 有你终生美丽(港)  /  美丽境界(台),朗·霍华德 Ron Howard,2001,美国,传记 剧情,9.0,454054
饮食男女, / Eat Drink Man Woman,李安 Ang Lee,1994,中国台湾 美国,剧情 家庭,9.1,321786
海豚湾, / 血色海湾(台)  /  海湾,路易·西霍尤斯 Louie Psihoyos,2009,美国,纪录片,9.3,251033
大闹天宫, / 大闹天宫 上下集  /  The Monkey King,万籁鸣 Laiming Wan / 唐澄 Cheng  Tang,2004,中国大陆,动画 奇幻,9.3,198949
哈利·波特与魔法石, / 哈利波特1：神秘的魔法石(港 / 台) ,Chris Columbus,2001,美国 英国,奇幻 冒险,8.9,486798
钢琴家, / 战地琴声(台)  /  战地琴人,罗曼·波兰斯基 Roman Polanski,2002,法国 德国 英国 波兰,剧情 传记 历史 战争 音乐,9.1,300983
情书, / When I Close My Eyes  /  Letters of Love,岩井俊二 Shunji Iwai,1995,日本,剧情 爱情,8.9,556636
本杰明·巴顿奇事, / 奇幻逆缘(港)  /  班杰明的奇幻旅程(台),大卫·芬奇 David Fincher,2008,美国,剧情 爱情 奇幻,8.9,592569
看不见的客人, / 佈局(台)  /  死无对证(港),奥里奥尔·保罗 Oriol Paulo,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.8,657579
黑客帝国, / 廿二世纪杀人网络(港)  /  骇客任务(台),安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,1999,美国 澳大利亚,动作 科幻,8.9,448321
西西里的美丽传说, / 真爱伴我行(台)  /  玛莲娜,朱塞佩·托纳多雷 Giuseppe Tornatore,2000,意大利 美国,剧情 战争 情色,8.8,569302
小鞋子, / 天堂的孩子  /  小童鞋,马基德·马基迪 Majid Majidi,1997,伊朗,剧情 儿童 家庭,9.2,225673
让子弹飞, / 让子弹飞一会儿  /  火烧云,姜文 Wen Jiang,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,8.8,962831
拯救大兵瑞恩, / 雷霆救兵(港)  /  抢救雷恩大兵(台),史蒂文·斯皮尔伯格 Steven Spielberg,1998,美国,剧情 历史 战争,9.0,380132
美国往事, / 四海兄弟(台)  /  义薄云天(港),赛尔乔·莱翁内 Sergio Leone,1984,意大利 美国,犯罪 剧情,9.2,254116
猫鼠游戏, / 逍遥法外  /  神鬼交锋(台),史蒂文·斯皮尔伯格 Steven Spielberg,2002,美国 加拿大,传记 犯罪 剧情,8.9,421984
音乐之声, / 仙乐飘飘处处闻(港)  /  真善美(台),罗伯特·怀斯 Robert Wise,1965,美国,剧情 传记 爱情 歌舞,9.0,350851
致命魔术, / 顶尖对决(台)  /  死亡魔法(港),克里斯托弗·诺兰 Christopher Nolan,2006,美国 英国,剧情 悬疑 惊悚,8.8,509857
七宗罪, / 火线追缉令(台)  /  7宗罪,大卫·芬奇 David Fincher,1995,美国,剧情 犯罪 悬疑 惊悚,8.8,606070
被嫌弃的松子的一生, / 花样奇缘(港)  /  令人讨厌的松子的一生(台),中岛哲也 Tetsuya Nakashima,2006,日本,剧情 歌舞,8.9,457214
低俗小说, / 黑色追緝令(台)  /  危险人物(港),昆汀·塔伦蒂诺 Quentin Tarantino,1994,美国,剧情 喜剧 犯罪,8.8,507357
沉默的羔羊, / 沉默的羔羊,乔纳森·戴米 Jonathan Demme,1991,美国,剧情 犯罪 惊悚,8.8,509163
穿条纹睡衣的男孩, / 穿条纹衣服的男孩  /  穿条纹衣的男孩,马克·赫尔曼 Mark Herman,2008,英国 美国,剧情 战争,9.0,268531
蝴蝶效应, / 蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,8.8,561995
春光乍泄, / 一起快乐  /  Happy Together,王家卫 Kar Wai Wong,1997,中国香港 日本 韩国,剧情 爱情 同性,8.9,377738
勇敢的心, / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),梅尔·吉布森 Mel Gibson,1995,美国,动作 传记 剧情 历史 战争,8.9,394866
天使爱美丽, / 艾蜜莉的异想世界(台)  /  天使艾米莉,让-皮埃尔·热内 Jean-Pierre Jeunet,2001,法国 德国,喜剧 爱情,8.7,670456
心灵捕手, / 骄阳似我(港)  /  心灵捕手,格斯·范·桑特 Gus Van Sant,1997,美国,剧情,8.9,413531
剪刀手爱德华, / 幻海奇缘(港)  /  剪刀手爱德华,蒂姆·波顿 Tim Burton,1990,美国,剧情 奇幻 爱情,8.7,690570
禁闭岛, / 不赦岛(港)  /  隔离岛(台),Martin Scorsese,2010,美国,剧情 悬疑 惊悚,8.8,552022
布达佩斯大饭店, / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),韦斯·安德森 Wes Anderson,2014,美国 德国 英国,剧情 喜剧 冒险,8.8,515142
阿凡达, / 天神下凡(港)  /  化身,詹姆斯·卡梅隆 James Cameron,2009,美国 英国,动作 战争 科幻 冒险,8.7,807714
我不是药神, / 中国药神  /  印度药神,文牧野 Muye Wen,2018,中国大陆,剧情 喜剧,9.0,1220527
幽灵公主, / 魔法公主  /  幽灵少女,宫崎骏 Hayao Miyazaki,1997,日本,动画 奇幻 冒险,8.9,342826
入殓师, / 礼仪师之奏鸣曲(港)  /  礼仪师(台),泷田洋二郎 Yôjirô Takita,2008,日本,剧情,8.8,407604
摩登时代," / The Masses  /  Temps modernes, Les",查理·卓别林 Charles Chaplin,1936,美国,剧情 喜剧 爱情,9.3,154551
加勒比海盗, / 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),戈尔·维宾斯基 Gore Verbinski,2003,美国,动作 冒险 奇幻,8.7,532928
致命ID, / 杀人游戏  /  致命身份,James Mangold,2003,美国,剧情 悬疑 惊悚,8.7,465450
断背山, / 断臂山  /  BBM,李安 Ang Lee,2005,美国 加拿大,剧情 爱情 同性 家庭,8.8,458447
阳光灿烂的日子, / In the Heat of the Sun,姜文 Wen Jiang,1994,中国大陆 中国香港,剧情 爱情,8.8,387584
重庆森林, / Chungking Express,王家卫 Kar Wai Wong,1994,中国香港,剧情 爱情,8.7,482393
第六感, / 灵异第六感  /  鬼眼,M·奈特·沙马兰 M. Night Shyamalan,1999,美国,剧情 悬疑 惊悚,8.8,333360
喜剧之王, / King of Comedy,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,中国香港,喜剧 剧情 爱情,8.7,531012
狩猎, / 谎言的烙印(台)  /  诬网(港),托马斯·温特伯格 Thomas Vinterberg,2012,丹麦 瑞典,剧情,9.1,201818
